52.66,24.04,36.91,34.62,50.59
52.41,24.57,37.46,34.47,50.83
52.28,23.73,37.27,33.54,50.06
51.30,23.88,38.09,37.88,49.71
53.11,24.37,37.24,37.43,50.09
51.45,24.13,37.45,38.35,49.42
51.67,24.74,37.66,35.50,49.47
50.85,23.99,37.79,36.77,48.90
50.83,24.13,37.25,33.67,48.83
50.40,23.94,37.05,32.39,48.16
50.59,24.46,37.27,33.66,48.89
50.78,23.30,37.56,35.31,49.09
55.37,22.19,39.46,40.25,53.51
54.20,23.08,37.78,38.25,52.83
54.74,23.72,37.55,41.61,53.64
54.98,23.67,36.89,37.44,53.89
54.49,23.29,37.23,35.67,52.84
54.65,24.45,37.87,38.31,53.26
54.86,25.85,37.36,35.75,52.76
52.29,25.80,37.67,34.93,50.06
52.75,26.92,36.21,37.17,50.51
52.82,37.10,36.28,30.16,52.38
55.76,46.09,38.40,38.27,56.66
57.57,48.91,37.17,33.16,57.65
57.31,48.95,34.98,34.40,58.39
56.32,48.71,36.08,35.99,57.22
57.73,48.79,36.10,34.60,57.78
57.35,48.68,37.15,34.80,56.81
54.99,48.10,36.22,35.28,55.29
55.84,48.02,37.23,34.50,55.91
55.70,47.74,37.90,36.57,55.24
56.25,47.45,39.42,36.36,55.41
55.39,46.15,39.81,37.73,55.08
54.23,42.96,39.58,38.91,52.97
51.53,37.14,39.66,39.49,46.86
49.03,31.96,38.23,36.51,44.25
47.17,25.77,37.45,32.42,42.65
45.41,24.01,36.44,29.69,40.17
44.42,24.39,36.32,34.95,38.60
44.45,22.88,36.48,33.63,37.24
43.64,23.01,36.78,31.94,38.00
51.23,23.87,41.51,41.36,45.56
52.52,23.56,42.79,37.51,47.73
50.72,24.67,39.97,35.45,45.90
49.17,22.67,38.34,37.51,45.17
52.26,24.06,39.65,42.70,46.89
50.87,24.99,39.60,39.97,46.33
49.56,24.39,38.83,41.24,44.77
49.77,23.78,37.52,40.45,44.74
50.42,23.23,38.03,41.70,44.73
50.66,22.86,37.94,38.56,45.73
52.99,22.72,38.87,39.27,50.80
56.49,22.19,38.14,37.76,55.42
55.79,21.80,37.72,40.34,55.16
55.87,23.35,37.61,38.29,54.60
57.32,24.07,37.38,39.17,56.24
55.79,23.88,38.15,36.18,54.49
56.69,23.19,39.30,38.03,55.16
55.93,23.08,38.14,39.99,54.27
55.60,24.00,38.00,40.37,54.53
55.68,23.22,39.21,41.45,54.17
54.39,23.75,39.52,39.47,52.47
54.01,23.65,39.05,40.02,50.84
51.72,23.92,37.96,38.21,49.12
53.15,24.09,38.36,39.51,50.19
52.41,23.83,38.14,38.40,49.28
53.11,23.15,38.62,36.04,49.96
52.09,23.59,37.59,37.08,49.78
51.14,23.80,37.07,34.46,49.55
51.07,24.17,37.41,33.39,49.33
51.17,24.08,37.49,34.63,48.61
51.76,23.29,39.22,35.37,49.18
54.36,23.31,43.71,41.78,51.95
52.67,23.77,43.45,39.70,49.48
52.10,23.37,41.13,37.45,48.82
51.33,24.02,40.65,38.74,48.33
52.15,23.16,40.64,40.25,48.51
51.28,23.87,39.83,40.39,46.96
48.30,24.37,38.23,38.15,43.48
49.43,23.32,37.42,38.67,43.50
49.05,23.35,37.82,39.11,42.41
47.91,22.59,36.89,34.06,44.98
53.79,22.81,39.06,38.97,50.99
56.57,22.92,39.55,38.06,55.54
57.70,23.74,38.67,37.19,56.77
58.54,23.75,38.84,37.48,58.22
57.63,24.36,38.40,35.35,57.62
56.99,24.23,39.76,38.98,56.42
54.96,23.58,39.39,38.98,54.40
54.93,24.54,38.72,36.37,53.22
53.59,24.32,38.15,39.55,51.62
55.09,23.58,38.87,38.74,53.57
55.01,23.18,38.14,35.32,54.07
55.68,24.19,38.28,35.32,55.10
55.99,24.30,38.86,39.43,55.18
55.37,24.36,38.10,37.91,54.54
54.09,23.97,38.78,34.25,52.91
53.17,24.01,39.07,38.77,50.35
52.57,24.30,39.27,38.78,49.94
53.02,23.70,38.70,37.50,51.33
53.58,22.30,39.00,38.99,52.31
56.96,24.03,40.30,40.13,56.80
56.74,23.41,37.76,39.25,55.42
